30
1;1;1;ORC;ORC-4;1;TRI;TRI-3;2;8;12;37;14;4;45;12;9;9;20;12;38;35;24;22;7;44;45;9;17;42;29;38;8;10;28;43;47;46;23;3;39;15;3;7;17;6;18;18;28
2;1;2;CAF;CAF-4;2;NEO;NEO-4;1;47;34;23;44;9;32;46;23;36;8;35;29;18;36;2;22;11;15;50;25;16;39;27;21;9;19;11;19;46;16;33;31;2;24;8;19;38;17;40;30
3;1;3;MOR;MOR-1;3;NEO;NEO-2;5;10;14;8;32;17;7;39;35;20;45;9;26;28;30;4;19;4;50;31;8;22;17;16;7;12;27;24;37;7;2;43;28;32;16;11;45;30;6;20;33
4;1;4;CAF;CAF-3;1;TRI;TRI-1;4;41;1;1;50;44;33;13;19;7;28;37;8;33;30;35;33;19;29;20;17;5;11;45;39;4;9;40;8;5;41;13;40;20;32;34;8;17;30;38;44
5;1;5;ORC;ORC-3;4;COP;COP-1;4;7;19;37;9;23;6;37;7;29;29;26;13;44;5;25;39;43;19;50;29;13;42;2;10;2;50;47;11;30;1;4;26;50;20;50;23;1;41;26;43
6;1;6;ORC;ORC-1;2;COP;COP-4;2;19;17;29;48;26;18;41;9;32;9;30;50;25;1;21;2;36;7;27;13;27;20;34;29;25;38;48;26;40;38;35;41;37;10;4;33;45;40;34;10
7;1;7;MOR;MOR-4;4;TRI;TRI-4;4;22;10;23;15;19;36;1;12;28;13;29;46;42;30;14;1;22;38;28;15;38;21;47;10;8;2;20;33;20;27;42;4;23;30;18;25;5;6;28;44
8;1;8;MOR;MOR-2;2;TRI;TRI-2;5;35;21;36;1;11;9;21;17;30;5;27;16;30;49;5;27;34;4;14;25;49;41;43;29;25;34;12;9;35;32;26;8;22;24;29;1;1;46;11;13
9;1;9;ORC;ORC-2;1;NEO;NEO-1;5;5;17;3;11;25;47;45;48;2;40;46;12;50;46;49;26;44;5;27;28;19;11;4;19;42;40;31;35;25;28;16;13;2;22;15;30;19;40;3;33
10;1;10;CAF;CAF-2;1;COP;COP-3;5;24;34;31;44;31;20;8;4;2;32;19;44;11;21;17;32;3;14;16;46;8;17;19;34;21;2;19;40;1;29;37;35;35;13;40;39;2;3;46;35
11;2;1;ORC;ORC-2;2;COP;COP-3;5;35;4;3;42;35;26;49;29;44;39;50;49;16;28;2;9;14;3;3;23;24;11;33;48;15;41;23;11;9;4;30;45;32;46;46;40;30;4;44;22
12;2;2;MOR;MOR-1;3;TRI;TRI-3;2;27;38;40;49;45;40;28;49;19;10;45;24;34;3;1;48;30;30;40;37;38;23;5;20;28;16;33;47;8;6;38;22;27;32;19;6;11;17;41;20
13;2;3;ORC;ORC-3;4;NEO;NEO-3;5;2;38;11;47;37;22;8;29;28;22;42;8;40;35;4;7;14;30;9;10;12;35;13;11;3;47;2;18;42;3;34;20;18;14;35;8;48;2;16;41
14;2;4;ORC;ORC-1;2;COP;COP-4;5;43;9;23;12;12;12;38;12;45;36;1;14;18;20;7;25;5;23;28;6;36;7;46;33;10;46;11;22;46;19;35;34;32;11;9;13;23;26;41;26
15;2;5;CAF;CAF-4;2;TRI;TRI-2;3;20;35;33;18;42;49;7;11;1;21;4;5;43;31;39;49;35;43;2;2;29;46;5;14;26;44;11;44;6;34;35;1;42;1;8;34;25;16;43;1
16;2;6;CAF;CAF-3;5;COP;COP-2;5;38;7;9;8;7;33;27;4;21;39;25;12;5;24;7;2;22;34;35;39;1;13;26;8;50;40;10;19;45;34;12;50;24;1;1;36;24;43;33;18
17;2;7;MOR;MOR-3;3;NEO;NEO-1;3;34;45;28;40;41;14;11;18;47;19;18;14;47;11;41;14;49;10;21;35;27;18;40;37;43;45;2;46;48;20;6;49;26;40;45;37;11;50;1;29
18;2;8;MOR;MOR-4;5;NEO;NEO-4;4;35;10;13;45;18;2;8;25;44;1;49;48;10;16;38;19;23;9;1;22;17;16;40;11;34;37;31;21;48;4;3;39;43;44;39;43;24;29;41;16
19;2;9;CAF;CAF-1;4;COP;COP-1;5;11;50;13;7;11;34;34;4;34;47;12;5;49;19;7;14;1;41;37;24;39;38;37;48;31;40;49;46;40;9;49;42;5;35;36;15;3;22;14;37
20;2;10;ORC;ORC-4;5;TRI;TRI-4;4;41;11;31;14;46;41;26;23;50;3;26;29;13;50;10;42;49;22;16;50;25;33;19;13;6;40;27;28;5;8;43;9;1;34;25;21;47;14;19;9
21;3;1;CAF;CAF-1;3;COP;COP-2;3;26;18;18;28;6;23;20;3;3;50;6;40;13;21;35;37;10;12;9;47;28;49;17;25;33;34;48;23;41;9;45;44;21;22;41;7;34;14;25;30
22;3;2;CAF;CAF-4;1;TRI;TRI-2;4;6;1;47;10;49;29;12;12;40;30;40;41;50;43;50;6;20;29;34;24;21;30;41;39;16;3;3;37;7;18;16;28;39;3;27;21;45;43;36;16
23;3;3;ORC;ORC-4;5;TRI;TRI-3;1;42;33;3;23;24;4;31;37;42;26;3;3;3;39;4;2;5;48;47;40;7;32;29;2;20;14;11;17;6;4;30;20;44;47;36;42;33;43;3;40
24;3;4;MOR;MOR-1;4;COP;COP-1;2;11;1;13;8;14;32;34;48;1;33;5;17;19;32;5;25;28;44;1;12;17;34;43;7;15;3;5;34;14;1;10;19;34;28;17;29;40;2;34;19
25;3;5;CAF;CAF-3;4;NEO;NEO-3;3;8;3;31;49;20;48;13;39;37;46;2;13;25;24;38;50;26;11;16;34;48;38;42;21;35;9;19;22;16;5;36;47;35;13;45;27;31;5;19;32
26;3;6;MOR;MOR-3;5;COP;COP-4;4;23;16;49;1;11;43;10;23;5;19;41;28;1;29;44;5;34;27;23;10;20;41;28;23;4;2;32;14;15;38;39;11;32;4;43;10;37;3;2;26
27;3;7;MOR;MOR-4;1;NEO;NEO-4;1;49;34;22;46;16;35;4;38;32;14;3;3;38;10;32;20;10;17;14;50;20;7;50;10;18;13;28;49;9;13;23;6;30;23;35;29;50;13;44;7
28;3;8;CAF;CAF-2;2;TRI;TRI-4;2;40;20;21;50;24;41;18;30;43;48;12;36;20;27;20;17;38;44;6;10;5;44;34;18;36;13;46;24;21;4;45;44;16;36;11;33;35;27;50;23
29;3;9;MOR;MOR-2;5;NEO;NEO-2;5;21;40;13;4;19;19;15;9;50;19;24;21;30;39;47;18;18;23;18;2;11;34;46;36;49;44;8;33;10;3;14;48;5;50;14;29;16;30;41;35
30;3;10;ORC;ORC-3;5;COP;COP-3;4;40;19;2;36;13;6;38;31;20;46;27;39;47;40;26;15;22;12;1;12;22;5;8;12;17;11;39;19;25;22;47;7;47;47;37;37;33;29;15;18
DUMP
