15
1;1;1;CAF;CAF-2;3;COP;COP-1;1;25;27;13;21;25;16;23;26;39;5;13;45;48;41;28;9;23;32;10;12;18;15;17;17;9;19;31;45;20;31;26;11;39;45;5;11;28;35;46;49
2;1;2;MOR;MOR-2;3;TRI;TRI-2;2;40;20;30;44;38;14;33;32;7;14;1;27;14;21;11;18;40;30;3;46;15;26;36;33;10;25;46;10;26;36;19;3;15;13;40;44;6;30;35;12
3;1;3;CAF;CAF-1;3;COP;COP-2;2;42;42;44;4;14;47;26;8;36;37;17;15;27;6;12;29;15;26;50;19;7;3;9;15;40;38;17;46;24;30;12;30;37;45;47;18;47;30;21;2
4;1;4;ORC;ORC-1;3;NEO;NEO-1;2;46;12;2;36;36;31;36;8;33;34;3;10;38;27;50;43;24;38;18;23;20;14;17;27;30;31;21;29;12;48;19;11;13;2;20;7;17;23;7;3
5;1;5;ORC;ORC-2;5;TRI;TRI-1;2;43;47;4;20;20;39;16;45;46;15;45;1;29;12;10;21;21;29;31;11;49;1;2;33;2;21;8;14;44;11;36;1;45;33;40;10;21;40;46;9
6;2;1;CAF;CAF-1;5;NEO;NEO-1;3;19;40;15;30;14;7;10;45;17;12;32;16;26;46;49;1;12;4;31;48;29;16;12;13;13;40;47;50;48;33;11;44;12;26;31;9;48;4;27;19
7;2;2;MOR;MOR-1;1;COP;COP-2;5;2;27;37;46;29;16;40;19;49;50;38;25;20;9;2;32;19;35;15;45;14;47;28;18;14;18;6;42;36;39;42;7;26;49;45;33;38;28;4;50
8;2;3;CAF;CAF-2;1;TRI;TRI-2;3;9;7;18;43;27;49;39;35;24;41;43;36;39;34;37;35;17;4;21;5;28;49;32;28;44;30;3;24;10;30;11;6;22;22;19;21;27;21;17;21
9;2;4;ORC;ORC-1;3;COP;COP-1;3;18;33;10;18;34;12;41;30;13;6;1;37;4;5;14;19;31;50;36;32;22;17;34;21;20;38;48;24;29;28;37;34;4;14;5;42;38;27;19;14
10;2;5;ORC;ORC-2;1;NEO;NEO-2;1;42;42;3;37;38;50;14;42;43;40;35;44;12;27;24;45;44;17;48;18;34;29;7;29;20;26;15;29;30;47;19;50;36;37;47;30;21;1;17;50
11;3;1;CAF;CAF-1;3;TRI;TRI-1;2;5;14;13;4;30;2;38;46;15;49;42;10;29;16;3;29;34;23;28;47;3;27;28;47;35;37;4;22;4;9;29;45;35;14;1;22;1;10;21;31
12;3;2;MOR;MOR-1;3;TRI;TRI-2;5;22;45;19;10;35;7;3;49;28;27;18;39;19;18;10;32;9;37;30;13;1;41;38;29;34;12;40;45;33;13;27;1;25;49;29;30;31;18;9;25
13;3;3;MOR;MOR-2;1;NEO;NEO-1;1;15;42;14;45;19;33;40;3;34;39;39;34;5;33;24;39;18;12;23;28;24;5;11;19;27;27;35;45;29;12;40;20;30;5;43;4;35;6;5;45
14;3;4;CAF;CAF-2;4;COP;COP-1;5;42;41;21;13;40;8;22;22;7;49;38;32;29;36;15;45;23;31;3;19;38;35;25;33;11;26;43;15;31;20;7;39;23;11;20;8;47;12;50;27
15;3;5;ORC;ORC-2;1;COP;COP-2;4;5;7;8;25;50;15;36;9;1;30;48;28;41;13;5;16;3;20;43;10;3;48;42;45;6;9;20;40;46;31;7;19;48;9;49;4;48;31;49;17
DUMP
